1KGR70,Personenauto,KIA,RIO,01/05/2013,1250,1248,1004,1560,01/05/2013,01/05/2013,15841,Ja
69JGV5,Personenauto,AUDI,A4 2.0 FS1,04/05/2013,8302,1984,1436,1900,07/10/2003,18/05/2009,,Ja
6KGK95,Personenauto,FORD,FOCUS; 1.8 TD 66 KW,01/05/2013,3599,1753,1157,1710,20/04/2005,10/04/2013,22650,Ja
63GLVS,Personenauto,OPEL,ZAFIRA-A; Z1.8XE,04/05/2013,5409,1796,1345,1990,09/01/2001,09/01/2001,,Ja
92LKL6,Personenauto,VOLKSWAGEN,GOLF,04/05/2013,5530,1390,1261,1860,23/12/2008,11/05/2010,,Ja
10DRLL,Personenauto,TOYOTA,TOYOTA YARIS; 1.0 16V VVTI 3-DRS,02/05/2013,1849,998,805,1335,04/11/1999,04/11/1999,,Ja
DH8132,Personenauto,NEKAF,JEEP,04/05/2013,,,1240,,28/02/1957,09/03/1994,,Ja
3TLT23,Personenauto,DACIA,SANDERO,03/05/2014,3780,898,998,1550,03/05/2014,03/05/2014,16020,Ja
2KJR44,Personenauto,CITROEN,C 3,01/05/2013,4628,1398,997,1501,07/09/2004,01/05/2013,19095,Ja
7TKG08,Personenauto,VOLKSWAGEN,POLO,03/05/2014,2047,1197,988,1570,27/05/2013,03/05/2014,19475,Ja
6TDB44,Personenauto,TOYOTA,TOYOTA AURIS,03/05/2014,,1798,1365,1805,23/01/2014,23/01/2014,25875,Ja
20GKH7,Personenauto,MERCEDES-BENZ,C 180 KOMPRESSOR,03/05/2014,11533,1796,1493,2080,04/07/2008,04/07/2008,46910,Ja
21HFN7,Personenauto,CITROEN,C5,01/05/2013,9444,1997,1553,2183,04/11/2008,04/11/2008,40122,Ja
05XBGD,Personenauto,HONDA,ACCORD SEDAN,04/05/2013,8057,1998,1321,1920,23/03/2007,23/03/2007,32971,Ja
49LGRR,Personenauto,MAZDA,MAZDA PREMACY; 1.8,01/05/2013,4693,1840,1250,1770,02/01/2003,02/01/2003,,Ja
4KHK65,Personenauto,PEUGEOT,208,01/05/2013,1125,1199,950,1530,01/05/2013,01/05/2013,18670,Ja
3KPD32,Personenauto,VOLVO,V40 CROSS COUNTRY,03/05/2014,4250,1596,1286,1910,21/06/2013,21/06/2013,35679,Ja
71PVN4,Personenauto,CHEVROLET,SPARK,04/05/2013,782,995,839,1367,31/03/2011,31/03/2011,10595,Ja
PSPJ02,Personenauto,CHRYSLER,CHRYSLER STRATUS; 2.5I 24V,01/05/2013,7150,,1406,1930,25/10/1996,25/10/1996,,Nee
8KDS46,Personenauto,HYUNDAI,I 10,02/05/2013,500,998,863,1400,28/03/2013,28/03/2013,10430,Ja
7KJF09,Personenauto,VOLKSWAGEN,TOURAN,01/05/2013,5500,1197,1360,2090,01/05/2013,01/05/2013,35200,Ja
FD46PT,Personenauto,BEDFORD,97370 KAMPEERAUTO,04/05/2013,,,1570,2500,31/07/1979,31/07/1979,,Nee
31TTGD,Personenauto,VOLKSWAGEN,FOX,01/05/2013,1829,1198,973,1480,20/01/2007,20/01/2007,,Ja
2KJG47,Personenauto,HONDA,HONDA CR-V,04/05/2013,11397,1997,1513,2100,04/05/2013,04/05/2013,54530,Ja
77SHLX,Personenauto,AUDI,AUDI A3; SPORTBACK TDI 77 KW,04/05/2013,9285,1896,1310,1895,05/01/2006,05/01/2006,,Ja
1KDV58,Personenauto,KIA,PICANTO,01/05/2013,,998,820,1340,01/05/2013,01/05/2013,10391,Ja
48JSSX,Personenauto,ROVER,ROVER 75; 2.5 LITRE V6 AUTOMATIC,02/05/2013,10486,2497,1445,2000,03/08/2002,03/08/2002,,Ja
26JNX1,Personenauto,VOLKSWAGEN,GOLF PLUS,02/05/2013,6461,1390,1381,1990,17/07/2009,17/07/2009,29515,Ja
60TFF6,Personenauto,VOLVO,V70,02/05/2013,9069,1596,1511,2210,10/01/2012,10/01/2012,45826,Ja
LVTJ13,Personenauto,ALFA ROMEO,GIULIA SUPER,03/05/2014,,1962,1008,,07/10/1975,26/08/1995,,Ja
TNHP62,Personenauto,VOLKSWAGEN,GOLF; 74 KW AUT,01/05/2013,4627,1595,1123,1720,04/06/1998,04/06/1998,,Ja
95NLR9,Personenauto,KIA,CEE D,02/05/2013,1909,1396,1163,1710,11/10/2010,11/10/2010,12595,Ja
23TRKX,Personenauto,SUZUKI,SWIFT,01/05/2013,2792,1328,965,1485,17/01/2007,17/01/2007,11117,Ja
8TSZ54,Personenauto,ALFA ROMEO,ALFA MITO,03/05/2014,1094,1248,1125,1630,03/05/2014,03/05/2014,21225,Ja
20FTPZ,Personenauto,VOLKSWAGEN,LUPO; 55 KW,01/05/2013,2205,1390,890,1390,14/07/2000,14/07/2000,,Ja
19ZGH4,Personenauto,VOLKSWAGEN,UP,01/05/2013,,999,840,1290,01/05/2013,01/05/2013,10533,Ja
29LDLG,Personenauto,SUZUKI,JIMNY; 4X4,01/05/2013,2875,1298,1020,1420,26/11/2002,26/11/2002,,Ja
2TRK14,Personenauto,SUZUKI,SX4,03/05/2014,3780,1586,1060,1730,03/05/2014,03/05/2014,21584,Ja
8TST96,Personenauto,VOLVO,XC60,03/05/2014,17069,2400,1693,2505,03/05/2014,03/05/2014,77885,Ja
44HJL6,Personenauto,AUDI,AUDI Q5,02/05/2013,16749,1984,1715,2320,08/01/2009,08/01/2009,70410,Ja
76HFZ2,Personenauto,AUDI,TT,04/05/2013,9460,1781,1300,1610,15/06/1999,12/12/2008,,Ja
51RHZ5,Personenauto,FIAT,FIAT PANDA,01/05/2013,,1242,835,1305,31/05/2011,31/05/2011,10245,Ja
78JLBV,Personenauto,FORD,KA; 1.3I 44KW,01/05/2013,1681,1299,865,1265,22/05/2002,22/05/2002,,Ja
27RXJT,Personenauto,CHEVROLET,"MATIZ; 1,0 4DRS [48 KW]",04/05/2013,1651,995,770,1270,05/10/2005,05/10/2005,10120,Ja
93HFK3,Personenauto,VOLVO,V70,02/05/2013,12997,2521,1558,2260,31/10/2008,31/10/2008,52699,Ja
79HPB9,Personenauto,SEAT,IBIZA,02/05/2013,5633,1896,1100,1626,19/01/2009,19/01/2009,25170,Ja
LVHP64,Personenauto,PEUGEOT,306 SR 1.4 COMFORT,02/05/2013,3166,1360,1022,1565,08/08/1995,08/08/1995,,Ja
75PDR8,Personenauto,ALFA ROMEO,ALFA GIULIETTA,04/05/2013,8250,1742,1295,1825,14/01/2011,14/01/2011,39820,Ja
03SFG1,Personenauto,RENAULT,TWINGO,02/05/2013,,1149,839,1370,12/09/2011,12/09/2011,9275,Ja
